Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202202,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"2,000",1,"60,000",1,"62,000",2,Final,,,,
202202,101210027,"Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares",NMB,"463,156",12,0,0,"463,156",12,Final,,,,
202202,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"4,913,855",31,"967,390",3,"5,881,245",34,Final,,,,
202202,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"675,002",11,"101,936",2,"776,938",13,Final,,,,
202202,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"7,304,784",29,0,0,"7,304,784",29,Final,,,,
202202,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"692,191",14,0,0,"692,191",14,Final,,,,
202202,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,0,0,"5,900",1,"5,900",1,Final,,,,
202202,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"130,201",8,"6,530",1,"136,731",9,Final,,,,
202202,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"17,100",2,0,0,"17,100",2,Final,,,,
202202,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"2,616,062","1,130",0,0,"2,616,062","1,130",Final,,,,
202202,102210019,"Cattle; live, pure-bred breeding animals, beef",NMB,"10,399,848","5,560",0,0,"10,399,848","5,560",Final,,,,
202202,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,523,230","204,942",0,0,"2,523,230","204,942",Final,,,,
202202,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"801,767","46,020",0,0,"801,767","46,020",Final,,,,
202202,106410010,"Insects; live, queen bees, in packages",NMB,"292,100",948,0,0,"292,100",948,Final,,,,
