Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,,
202201,101210041,"Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions",NMB,"45,772","56,556",2,Final,,
202201,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"1,486,968","1,570,348",20,Final,,
202201,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"7,457,788","7,742,678",56,Final,,
202201,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"14,466","32,316",3,Final,,
202201,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"102,085","125,685",4,Final,,
202201,106190019,"Mammals; live, dogs",NMB,"62,139","108,622",19,Final,,
202201,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"41,181","60,809",129,Final,,
202201,106490000,"Insects; live, other than bees",NMB,"5,484","6,908","1,360",Final,,
202201,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"131,001","134,124","10,415",Final,,
202201,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"7,963","10,599",609,Final,,
202201,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"15,376","15,743",633,Final,,
202201,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"33,067","39,597","2,128",Final,,
202201,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,27,44,16,Final,,
202201,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"248,104","256,932","20,135",Final,,
202201,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,047,018","2,120,083","278,307",Final,,
202201,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"115,881","118,192","18,224",Final,,
202201,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"545,416","576,276","128,331",Final,,
202201,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,"451,390","475,099","162,258",Final,,
202201,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"14,093,548","14,864,673","3,136,815",Final,,
202201,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"1,138,970","1,159,473","181,708",Final,,
202201,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,105,174,63,Final,,
202201,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"85,875","92,835","17,026",Final,,
202201,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"53,629","60,025","2,407",Final,,
202201,206490001,"Offal, edible; of swine, hearts, frozen",KGM,"36,323","39,047","20,000",Final,,
202201,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"117,905","126,987","46,703",Final,,
202201,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"24,401","24,462",865,Final,,
202201,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"114,404","114,404","24,776",Final,,
202201,209100000,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",TNE,"25,534","27,338",12,Final,,
202201,209900000,"Fat; poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",TNE,"11,334","11,734",0,Final,,
202201,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"3,603","3,952",149,Final,,
202201,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"294,267","308,479","44,739",Final,,
202201,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"379,964","386,922","48,575",Final,,
202201,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,"49,492","54,719","1,712",Final,,
202201,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"21,879","30,120",201,Final,,
202201,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"1,911","2,160",69,Final,,
202201,301110000,"Fish; live, ornamental, freshwater",KGM,"33,834","49,558",996,Final,,
202201,301190000,"Fish; live, ornamental, other than freshwater",KGM,"15,734","25,537",690,Final,,
202201,302140010,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), whole",KGM,"125,229","140,901","8,757",Final,,
202201,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"2,116","2,526",99,Final,,
202201,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"119,650","182,040","18,976",Final,,
202201,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,160,240,20,Final,,
202201,302440015,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), headed and gutted",KGM,"1,072","1,279",185,Final,,
202201,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"1,221","1,957",234,Final,,
202201,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"8,197","9,368",747,Final,,
202201,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,605","2,826",350,Final,,
202201,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,"2,010","2,399",29,Final,,
202201,303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,102,325,93,Final,,
202201,303430029,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"12,515","14,755","4,300",Final,,
202201,303450011,"Fish; frozen, Atlantic bluefin tunas (Thunnus thynnus), whole",KGM,"6,666","7,937",61,Final,,
202201,303490013,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, whole",KGM,"3,167","3,774","1,100",Final,,
202201,303530015,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), headed and gutted",KGM,"7,907","8,664","1,200",Final,,
202201,303540015,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), whole",KGM,"427,152","479,937","162,000",Final,,
202201,303540025,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), headed and gutted",KGM,"1,098","1,462",204,Final,,
202201,303590010,"Fish; frozen, n.e.c. in item no. 0303.5, whole",KGM,"23,878","27,992","5,812",Final,,
202201,303630015,"Fish; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"2,333","2,785",37,Final,,
202201,303690049,"Fish; frozen, n.e.c. in item no. 0303.6, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"1,467","1,629",85,Final,,
202201,303891043,"Fish; frozen, whole",KGM,"143,148","146,681","18,360",Final,,
202201,303891057,"Fish; frozen, trevally, whole",KGM,"4,500","5,362","1,100",Final,,
202201,303891079,"Fish; frozen, n.e.c. in heading 0303, whole",KGM,"187,263","201,218","40,779",Final,,
202201,303892079,"Fish; frozen, n.e.c. in heading 0303, headed and gutted",KGM,"2,030","2,208",234,Final,,
202201,303899044,"Fish; frozen, orange roughy, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"306,463","319,463","35,625",Final,,
202201,303899050,"Fish; frozen, sea perch, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,26,26,1,Final,,
202201,303899079,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"20,620","24,309","5,305",Final,,
202201,303910019,"Fish; frozen, livers, roes and milt, n.e.c. in item 0303.91",KGM,"9,015","9,814",268,Final,,
202201,304490077,"Fish fillets; fresh or chilled, yellowtail kingfish",KGM,"10,196","10,877",329,Final,,
202201,304620000,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"33,945","35,373","7,980",Final,,
202201,304690010,"Fish fillets; frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)",KGM,108,108,229,Final,,
202201,304790010,"Fish fillets; frozen, hoki, in blocks",KGM,"226,839","238,025","35,423",Final,,
202201,304790019,"Fish fillets; frozen, hoki, other than in blocks",KGM,"511,056","534,660","72,145",Final,,
202201,304790031,"Fish fillets; frozen, southern blue whiting, in blocks",KGM,"29,259","29,984","22,800",Final,,
202201,304790035,"Fish fillets; frozen, southern blue whiting, other than in blocks",KGM,"464,234","475,674","67,470",Final,,
202201,304810000,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",KGM,"425,502","426,569","22,052",Final,,
202201,304830015,"Fish fillets; frozen, other than in blocks, flounder",KGM,1,1,0,Final,,
202201,304870019,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), other than southern bluefin",KGM,"11,050","13,621",257,Final,,
202201,304890053,"Fish fillets; frozen, other than in blocks, orange roughy",KGM,"108,304","116,961","17,836",Final,,
202201,304890073,"Fish fillets; frozen, other than in blocks, trevally",KGM,1,1,0,Final,,
202201,304890099,"Fish fillets; frozen, other than in blocks, n.e.c. in item no. 0304.89",KGM,"30,109","33,796","2,549",Final,,
202201,304990039,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",KGM,"5,890","6,880",364,Final,,
202201,305200019,"Fish; livers, roes and milt of fish, smoked, salted or in brine, whether or not cooked before or during the smoking process",KGM,"18,851","23,760",450,Final,,
202201,305390011,"Fish fillets; dried, n.e.c. in item no. 0305.3",KGM,"2,189","2,603",163,Final,,
202201,305390029,"Fish fillets; salted or in brine, but not smoked, n.e.c. in item no. 0305.3",KGM,"2,284","2,536",167,Final,,
