Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202206,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"23,520",3,"340,000",2,"363,520",5,Final,,,,
202206,101290010,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings",NMB,"3,621,747",43,"899,202",15,"4,520,949",58,Final,,,,
202206,101290013,"Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies",NMB,"1,422,121",17,"500,000",2,"1,922,121",19,Final,,,,
202206,101290015,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings",NMB,"545,138",34,0,0,"545,138",34,Final,,,,
202206,101290017,"Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies",NMB,"494,432",35,0,0,"494,432",35,Final,,,,
202206,101290033,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions",NMB,"6,000",1,0,0,"6,000",1,Final,,,,
202206,101290035,"Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares",NMB,"77,250",5,0,0,"77,250",5,Final,,,,
202206,101290039,"Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions",NMB,"206,124",7,0,0,"206,124",7,Final,,,,
202206,102210010,"Cattle; live, pure-bred breeding animals, dairy",NMB,"3,533,063",800,0,0,"3,533,063",800,Final,,,,
202206,102290010,"Cattle; live, other than pure-bred, for breeding, dairy",NMB,"12,564,455","2,845",0,0,"12,564,455","2,845",Final,,,,
202206,104100001,"Sheep; live, for breeding",NMB,"165,686",22,0,0,"165,686",22,Final,,,,
202206,105110001,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, for breeding",NMB,"2,020,576","142,151",0,0,"2,020,576","142,151",Final,,,,
202206,105110009,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g, other than for breeding",NMB,"1,750,886","99,995",0,0,"1,750,886","99,995",Final,,,,
202206,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"122,132",60,0,0,"122,132",60,Final,,,,
202206,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"2,266",109,0,0,"2,266",109,Final,,,,
202206,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"970,824","49,816",0,0,"970,824","49,816",Final,,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"48,288,913","2,841,956","2,778",203,"48,291,691","2,842,159",Final,,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"882,205","81,790",0,0,"882,205","81,790",Final,,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"2,376,815","147,416",0,0,"2,376,815","147,416",Final,,,,
202206,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"38,849","9,791",0,0,"38,849","9,791",Final,,,,
202206,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"119,914","20,918",0,0,"119,914","20,918",Final,,,,
202206,202200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, frozen",KGM,"197,281","25,350",0,0,"197,281","25,350",Final,,,,
202206,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"1,063,402","135,345",0,0,"1,063,402","135,345",Final,,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"26,443,389","3,224,398",0,0,"26,443,389","3,224,398",Final,,,,
202206,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"6,189,358","1,540,315",0,0,"6,189,358","1,540,315",Final,,,,
202206,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"6,621,904","1,400,275",0,0,"6,621,904","1,400,275",Final,,,,
202206,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"568,751","170,001",0,0,"568,751","170,001",Final,,,,
202206,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"320,884,663","30,230,936",0,0,"320,884,663","30,230,936",Final,,,,
202206,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"7,356,857","774,138",0,0,"7,356,857","774,138",Final,,,,
202206,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"71,719,808","6,399,463",0,0,"71,719,808","6,399,463",Final,,,,
202206,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"2,293",307,0,0,"2,293",307,Final,,,,
202206,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"1,036",54,0,0,"1,036",54,Final,,,,
202206,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"2,473",206,0,0,"2,473",206,Final,,,,
202206,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"3,751",417,0,0,"3,751",417,Final,,,,
202206,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"4,377",482,0,0,"4,377",482,Final,,,,
202206,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"240,871","41,499","121,430","14,101","362,301","55,600",Final,,,,
202206,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"62,810","4,356",0,0,"62,810","4,356",Final,,,,
202206,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"92,366","6,458",0,0,"92,366","6,458",Final,,,,
202206,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"24,964,787","1,164,823",0,0,"24,964,787","1,164,823",Final,,,,
202206,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"18,400",993,0,0,"18,400",993,Final,,,,
202206,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"25,376,796","1,091,275",0,0,"25,376,796","1,091,275",Final,,,,
202206,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"61,268","2,274",0,0,"61,268","2,274",Final,,,,
202206,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"25,332","2,106",0,0,"25,332","2,106",Final,,,,
202206,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"121,448","12,195",0,0,"121,448","12,195",Final,,,,
202206,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"217,701","19,205",0,0,"217,701","19,205",Final,,,,
202206,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"560,575","58,943",0,0,"560,575","58,943",Final,,,,
202206,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"1,203,386","103,463",0,0,"1,203,386","103,463",Final,,,,
202206,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"2,352,290","207,382",0,0,"2,352,290","207,382",Final,,,,
202206,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"418,029","36,662",0,0,"418,029","36,662",Final,,,,
